date,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLASSI_CIRRUS,MSK_CLASSI_OPAQUE,MSK_CLASSI_SNOW_ICE,QA10,QA20,QA60,NDVI,NDWI,MNDWI,NDRE,PRI,CIRE,GNDVI,SIPI,LST,NMDI
2023-12-27T00:00:00,5093.564490218745,1018.0382242106684,5509.779887999759,4726.261789301427,5055.435464740943,4864.227003167835,5259.682615941265,5313.647844821113,5676.305703604724,5964.311423724234,5738.140210488387,6158.696293182399,2545.559806026393,0,0,0,0,0,0.0,0.04350475563193352,-0.08242623460494,-0.06222792134267289,0.07365961465207117,0.01927570239327076,0.07988718448494869,0.08242623460494,0.7008265249764647,1018.0382242106684,-0.3278599636152355
2023-12-22T00:00:00,2460.673037368444,1012.737790322338,2310.351960004203,1711.7805636044254,2063.0387046406536,1842.3316618373449,1670.5466392421213,1917.941072259673,3275.5380965964537,3912.95279775399,3801.949134475356,4207.726244989264,1678.5115228129175,0,0,0,0,0,0.0,0.38947540269827724,-0.3471863897909174,-0.11270309534423673,0.3738017515711159,0.05651372906850577,0.9823075846621236,0.3471863897909174,1.2257114907498956,1012.737790322338,-0.43854395926704
2023-12-17T00:00:00,3671.2444788085336,1051.8070022670297,3981.3386731124338,3413.3229840707427,3631.0351464560767,3324.594937469034,3440.242512048282,3500.743915804645,3796.116864593811,4016.034200609545,4174.197711952197,4124.445103367512,2234.9854519795217,0,0,0,0,0,0.0,0.09638990895095755,-0.11329860874986812,-0.08989182911438072,0.0817948494122157,0.04405642699361557,0.19237448163721482,0.11329860874986812,1.351262488484504,1051.8070022670297,-0.30874177036933725
2023-12-12T00:00:00,2343.599021123905,1012.209692674944,2353.436050264986,1752.682240605341,1965.606783070848,1771.960619754679,1617.5615175582147,1851.8272103532656,3202.824102571801,3873.6136742384415,3779.284654766015,4171.047772756618,1729.9573318119717,0,0,0,0,0,0.0,0.4005530393460933,-0.3615988729996537,-0.14095018661745687,0.385068687114909,0.0518107481271846,1.040840869837449,0.3615988729996537,1.191900265722121,1012.209692674944,-0.43134255561045454
2023-12-07T00:00:00,6070.373969702882,1017.9764138904314,4334.197832059692,3167.41357514976,5571.572972810664,5141.819058056959,5384.30633416908,5362.624288738419,5495.572432326931,5712.164156920443,5261.124041016709,5827.335174981604,2568.825919197684,0,0,0,0,0,0.0,-0.011571377465349426,-0.011468387534521248,0.08522792174838824,0.04152927343033424,0.040113711279816,-0.018927346436494075,0.011468387534521248,0.39678762120569055,1017.9764138904314,-0.34965635801246914
2023-12-02T00:00:00,2481.274010239163,1062.2467308240873,2595.4312309517018,2040.111760025222,2163.630744516343,2004.6330715990807,1932.5523293347544,2158.43477412284,3288.275076193191,3849.2099479033736,3779.0133019052064,4103.139324695602,2043.129400813728,0,0,0,0,0,0.0,0.32328455834789943,-0.3067926556566141,-0.12843258713253583,0.31057758318946155,0.03814481998537191,0.7508119064848502,0.3067926556566141,1.143048724975159,1062.2467308240873,-0.4059902540919962
2023-11-27T00:00:00,2383.014983410152,1011.5203657273256,2447.7912831984613,1827.7848124071036,2016.5137598150343,1840.6023691203625,1712.217724863753,1945.398096296185,3184.7294878916614,3840.5326917591246,3793.2655276472447,4152.514435419701,1826.058086987854,0,0,0,0,0,0.0,0.3779954832910164,-0.3465937069002291,-0.14158889395561414,0.3619462115345327,0.0456069728818938,0.9498659605297175,0.3465937069002291,1.1712653621403446,1011.5203657273256,-0.4191350284651746
2023-11-22T00:00:00,3214.5477652498994,1011.9725254102416,2983.39947753239,2395.9867281216684,2908.01363220082,2626.393862506944,2638.371192217033,2662.988980137222,2999.699040641374,3220.2288197937155,3094.557073580853,3312.197621871576,1457.896767607008,0,0,0,0,0,0.0,0.07957292682090275,-0.08183311066709768,-0.0636397088779286,0.10865077276684489,0.050885260972050386,0.16206153936896595,0.08183311066709768,2.4454672755525224,1011.9725254102416,-0.3134969329561837
2023-11-17T00:00:00,2342.2060594231834,1011.8306784572188,2519.3926614319807,1875.1829537436,1975.249763538366,1824.1572207125373,1687.3197561817829,1925.296635488762,3225.983530259581,3921.6068581380337,3882.42629153092,4248.021574309007,1834.7855480655185,0,0,0,0,0,0.0,0.39411249930337305,-0.36068324706058763,-0.16006157626447898,0.3762522617307839,0.03976740145294501,1.0165340862112475,0.36068324706058763,1.15097187026502,1011.8306784572188,-0.41698250972582285
2023-11-12T00:00:00,5439.8637830858615,1014.968306634438,4724.431831489182,3504.586574984612,5264.943519449906,4934.767066524538,5216.083564790488,5172.096761601633,5361.501508850418,5593.459140931132,5287.51871424925,5733.969522722833,2153.4061134715566,0,0,0,0,0,0.0,0.006801014314994849,-0.034508098803906644,0.021775639704303913,0.05151928719971124,0.03237115897968628,0.022316278671451917,0.034508098803906644,3.1643204009401327,1014.968306634438,-0.3232921412743775
2023-11-07T00:00:00,7084.239209092138,1032.0270692269578,6780.087678472232,5717.359181467411,6986.194138754183,6722.364781479424,7194.666956926446,7178.079886498412,7354.463494827873,7618.336616271561,7293.603435074392,7817.987989250378,3541.9286411338144,0,0,0,0,0,0.0,0.006828729411522463,-0.040756274897962186,-0.004274993536471592,0.04267172621876479,0.019245593851980394,0.01609393464584774,0.040756274897962186,0.321839577827504,1032.0270692269578,-0.3325185772489084
